iter	Passed	Remaining
0	8	8055
1	16	8154
2	23	7938
3	32	8089
4	40	7986
5	48	7959
6	55	7927
7	64	7945
8	71	7892
9	79	7886
10	86	7819
11	94	7763
12	101	7725
13	109	7684
14	116	7670
15	123	7622
16	131	7625
17	139	7610
18	147	7606
19	155	7595
20	162	7582
21	169	7520
22	177	7521
23	184	7503
24	192	7509
25	200	7523
26	208	7516
27	215	7473
28	223	7490
29	232	7509
30	239	7493
31	247	7490
32	254	7468
33	262	7471
34	270	7462
35	278	7456
36	286	7444
37	293	7438
38	300	7404
39	308	7400
40	315	7389
41	323	7385
42	331	7378
43	340	7393
44	347	7383
45	355	7373
46	363	7363
47	370	7350
48	378	7341
49	385	7328
50	393	7321
51	401	7310
52	408	7304
53	416	7292
54	424	7287
55	431	7279
56	439	7278
57	447	7274
58	455	7270
59	464	7271
60	472	7271
61	480	7262
62	487	7248
63	495	7242
64	502	7234
65	510	7231
66	519	7228
67	527	7224
68	535	7221
69	543	7223
70	551	7214
71	559	7209
72	569	7229
73	577	7230
74	585	7224
75	592	7198
76	599	7187
77	607	7179
78	615	7173
79	623	7175
80	632	7172
81	640	7172
82	648	7161
83	655	7146
84	662	7134
85	671	7141
86	679	7129
87	687	7129
88	696	7133
89	705	7133
90	713	7128
91	722	7126
92	730	7120
93	739	7128
94	747	7120
95	758	7143
96	768	7150
97	776	7143
98	784	7138
99	794	7146
100	807	7190
101	818	7209
102	829	7225
103	838	7225
104	849	7237
105	858	7238
106	869	7258
107	878	7256
108	886	7245
109	894	7233
110	902	7230
111	911	7223
112	921	7229
113	932	7248
114	942	7254
115	953	7263
116	961	7258
117	970	7256
118	981	7267
119	989	7258
120	999	7259
121	1007	7250
122	1017	7253
123	1025	7241
124	1036	7257
125	1045	7252
126	1054	7245
127	1064	7253
128	1073	7246
129	1080	7232
130	1089	7228
131	1099	7230
132	1108	7223
133	1117	7220
134	1125	7210
135	1134	7205
136	1142	7196
137	1151	7191
138	1159	7179
139	1168	7176
140	1176	7166
141	1184	7157
142	1193	7150
143	1201	7139
144	1210	7136
145	1217	7122
146	1226	7116
147	1235	7113
148	1244	7110
149	1253	7102
150	1262	7097
151	1272	7100
152	1283	7103
153	1293	7107
154	1303	7104
155	1312	7100
156	1319	7087
157	1328	7077
158	1335	7065
159	1343	7055
160	1351	7043
161	1360	7035
162	1368	7027
163	1377	7022
164	1386	7016
165	1395	7012
166	1403	7002
167	1412	6996
168	1422	6992
169	1430	6982
170	1439	6977
171	1447	6965
172	1455	6956
173	1463	6946
174	1471	6938
175	1479	6926
176	1489	6923
177	1496	6911
178	1505	6903
179	1514	6897
180	1522	6889
181	1531	6882
182	1539	6874
183	1547	6863
184	1555	6853
185	1563	6843
186	1572	6836
187	1580	6826
188	1589	6818
189	1598	6814
190	1607	6808
191	1615	6798
192	1625	6794
193	1632	6782
194	1641	6775
195	1649	6766
196	1658	6759
197	1666	6750
198	1674	6741
199	1683	6735
200	1692	6726
201	1700	6718
